L	8.44818	0.251553	1477010443449633	8.45	0.25	-3.00027	0
L	8.45582	0.253997	1477010443549747	8.45	0.25	0	0
L	8.23962	0.24916	1477010443659650	8.25	0.25	-1.81978	0
L	7.84073	0.159858	1477010443759657	7.85	0.15	-3.99972	-0.99993
L	7.54016	0.159641	1477010443859663	7.55	0.15	-2.99982	0
L	7.3426	0.0345312	1477010443969766	7.35	0.0500011	-1.81648	-0.90823
L	7.05406	-0.0533413	1477010444079717	7.05	-0.0499992	-2.72849	-0.909499
L	6.84972	-0.258748	1477010444189670	6.85	-0.25	-1.81896	-1.81897
L	6.64329	-0.462604	1477010444289632	6.65	-0.449999	-2.00076	-2.00075
L	6.56029	-0.650892	1477010444389748	6.55	-0.65	-0.99884	-1.99769
L	6.45805	-1.05268	1477010444499791	6.45	-1.05	-0.908739	-3.63494
L	6.25499	-1.25007	1477010444609744	6.25	-1.25	-1.81896	-1.81896
L	6.36328	-1.65656	1477010444719667	6.35	-1.65	0.909727	-3.63891
L	6.24641	-1.95075	1477010444819718	6.25	-1.95	-0.999489	-2.99847
L	6.34644	-2.23829	1477010444919720	6.35	-2.25	0.999979	-2.99994
L	6.34927	-2.55175	1477010445029767	6.35	-2.55	0	-2.72611
L	6.43257	-2.84245	1477010445139717	6.45	-2.85	0.909503	-2.72851
L	6.44119	-3.14955	1477010445239799	6.45	-3.15	0	-2.99754
L	6.5453	-3.45745	1477010445349641	6.55	-3.45	0.910402	-2.7312
L	6.76011	-3.75457	1477010445459700	6.75	-3.75	1.81721	-2.72581
L	6.85997	-4.05805	1477010445569835	6.85	-4.05	0.907976	-2.72393
L	6.94332	-4.34473	1477010445679806	6.95	-4.35	0.90933	-2.72799
L	7.04099	-4.55018	1477010445789690	7.05	-4.55	0.910054	-1.8201
L	7.14735	-4.86125	1477010445899786	7.15	-4.85	0.908297	-2.72489
L	7.30424	-5.15404	1477010446009732	7.35	-5.15	1.81907	-2.72861
L	7.44737	-5.45308	1477010446119841	7.45	-5.45	0.90819	-2.72457
L	7.64356	-5.66706	1477010446229748	7.65	-5.65	1.81972	-1.81972
L	7.7342	-5.95374	1477010446339659	7.75	-5.95	0.909826	-2.72948
L	7.95703	-6.24328	1477010446439730	7.95	-6.25	1.99858	-2.99787
L	8.15891	-6.45335	1477010446549779	8.15	-6.45	1.81737	-1.81737
L	8.25411	-6.74791	1477010446659755	8.25	-6.75	0.909293	-2.72787
L	8.44494	-6.95805	1477010446769649	8.45	-6.95	1.81993	-1.81993
